	Number	lat	long	country
Berg University Wuppertal	1	51.2449746	7.1494262	Germany
University of Florida	3	29.6436325	-82.3549302	United States
University Nacional Autónoma De México	1	19.3188895	-99.1843676	Mexico
University of St Andrews	4	34.7448064	-79.48007109999999	United States
Columbia University Coll Phys Surg	1	40.8410971	-73.9411973	United States
University of New South Wales	1	-33.917347	151.2312675	Australia
New Mexico State University Lib	1	32.281567	-106.749601	United States
Miami University	5	39.5105334	-84.73087679999999	United States
University Inrs	1	46.8130159	-71.2240248	Canada
University of Oregon	3	44.0448302	-123.0726055	United States
Leeds University	1	53.8066815	-1.5550328	United Kingdom
Indiana University Northwest	1	41.5568315	-87.3375312	United States
Muskingum Universityersityoh	1	39.9996605	-81.7378895	United States
University Estado Rio De Janeiro	1	-22.952862	-43.173232	Brazil
Justusliebiguniversityersität	1			
Eberhard Karls University of Tübingen	1	48.5294782	9.043773999999999	Germany
Fayetteville State University	3	35.0742206	-78.8924896	United States
University Hawaii	2	21.2991857	-157.8171978	United States
University Freiburg	2	47.9935441	7.845949599999999	Germany
University Paris 1 Paris 4	1	48.8469373	2.344468	France
Rutgers University	5	40.4981958	-74.44679579999999	United States
University Arizona	1	32.2318851	-110.9501094	United States
University of Berlin	1	52.4525264	13.2896787	Germany
Kristianstad University	1	56.0485005	14.146265	Sweden
University Eastern Finland	1	62.89555900000001	27.641009	Finland
University Manitoba	2	49.8075008	-97.1366259	Canada
Queen’S University Belfast	2	54.5844087	-5.9340493	United Kingdom
University of Munich	1	48.150806	11.58043	Germany
Alexander Dubèek University of Trenèín	1			
Johns Hopkins University Sais	2	38.90813	-77.040279	United States
University Libre Berlin	1	52.4525264	13.2896787	Germany
University Internacional De La Riojaunir	1	42.462209	-2.4241853	Spain
University of Arizona	1	32.2318851	-110.9501094	United States
Wageningen University	4	51.9845558	5.6657696	Netherlands
University Nanterre Paris Ouest La Def	1	48.90339900000001	2.211274	France
University of Massachusetts At Amherst	1	42.3911569	-72.5267121	United States
United States Jacobs University	2	53.16771689999999	8.6542654	Germany
University of Ottawa And Research Associate	1	45.42310639999999	-75.68313289999999	Canada
University Memphis	1	35.118741	-89.937141	United States
Cambridge University	4	52.2042666	0.1149085	United Kingdom
Nw State University	1	31.7487611	-93.0977934	United States
Calif State University Los Angeles	1	34.0667886	-118.1680902	United States
Roosevelt University	1	41.8760347	-87.6245127	United States
University Valencia	2	39.4793254	-0.3593863	Spain
Koc University	1	41.19779640000001	29.06738349999999	Turkey
Jacksonville State University	1	33.8230593	-85.7681082	United States
University Fed Fluminense	2	-22.9016321	-43.123741	Brazil
University of Lausanne	4	46.5210895	6.5801606	Switzerland
Germany University of Greifswald	1	54.095094	13.3746059	Germany
Tel Aviv University	8	32.1133141	34.8043877	Israel
The University of Warwick	1	52.3792525	-1.5614704	United Kingdom
Universityersität Leipzig	1			
University Strathclyde	2	55.8628285	-4.2428535	United Kingdom
University St Andrews	2	56.3416934	-2.7927522	United Kingdom
University of Leuven	3	50.87795449999999	4.7002953	Belgium
Saint Martins University In Lacey	1	47.0429147	-122.8169065	United States
Texas Am University Corpus Christi	1	27.7127448	-97.32414329999999	United States
University Bonn	2	50.7267715	7.0865227	Germany
Universityersità Degli Studi Internazionali Di Roma Unint	2	41.859918	12.4966143	Italy
University of Sheffield	14	53.3809409	-1.4879469	United Kingdom
Liverpool Hope University	4	53.3908007	-2.8922988	United Kingdom
University of Deusto Ud	1	43.2712452	-2.9385576	Spain
Russian State University For The Humanities	1	55.7770941	37.5955978	Russia
Virginia Commonwealth University	4	37.5489872	-77.4534286	United States
Emory University	18	33.7925195	-84.32399889999999	United States
University Dublin Trinity Coll	2	53.3437935	-6.254571599999999	Ireland
University Cent Arkansas	2	35.0780913	-92.4579383	United States
University Concepcion Udec	1	-36.8294765	-73.0341825	Chile
Australian National University	1	-35.2776999	149.118527	Australia
New York University School of Law	1	40.730537	-73.999499	United States
University Athens	1	34.8054077	-86.9650947	United States
University of Bergamo	2	45.7044335	9.660490399999999	Italy
Al Farabi Kazakhstan Natl University	1	43.2252358	76.92191869999999	Kazakhstan
Queens University Charlotte	1	35.1885164	-80.83279	United States
University Mississippi	4	34.3647324	-89.538443	United States
University of Virginia	6	38.0335529	-78.5079772	United States
University Witwatersrand	4	-26.191716	28.032858	South Africa
Kent State University	1	41.1490629	-81.34146489999999	United States
Agh University of Science And Technology	1	50.06688579999999	19.9136192	Poland
Open University Cyprus	1	35.1130681	33.3774119	Cyprus
Ohio Wesleyan University	3	40.2966234	-83.0700693	United States
University of Warwick	6	52.3792525	-1.5614704	United Kingdom
Open University Israel	1	32.188588	34.887685	Israel
Ruprechtkarlsuniversityersität	1			
Florida International University	1	25.756576	-80.373949	United States
Florida Gulf Coast University	1	26.4643209	-81.7733903	United States
New Jersey City University	4	40.70966200000001	-74.08765629999999	United States
The University of Wisconsinmadison	1	43.076592	-89.4124875	United States
University Sfax	1	34.7361066	10.7427275	Tunisia
University of Guelph	2	43.5320995	-80.2268613	Canada
Rutgers State University Lib	1	40.5050347	-74.4523937	United States
Brenau University	1	34.3028284	-83.8221045	United States
University London	108	51.5229378	-0.1308206	United Kingdom
Temple University	10	39.9811935	-75.1553512	United States
Georgetown University	34	38.9076089	-77.07225849999999	United States
University Southampton Waterfront Campus	1	50.89313079999999	-1.3949405	United Kingdom
Panteion University	1	37.9596132	23.7192801	Greece
University Tokyo	2	35.7126775	139.761989	Japan
Lawrence University	6	44.2615759	-88.39809989999999	United States
University Lisbon	3	38.7526578	-9.158244999999999	Portugal
Grenoble Universityersité	1			
Miami University of Ohio	2	39.5105334	-84.73087679999999	United States
Macquarie University	1	-33.77382370000001	151.1126498	Australia
North Dakota State University	3	46.8977528	-96.8024367	United States
United States Stephen F Austin State Universityersitytx	1	31.6219236	-94.6462581	United States
University Paris 1 Pantheonsorbonne	1	48.8469373	2.344468	France
Technical University of Dresden	1	51.02927340000001	13.7289964	Germany
University Hertfordshire	1	51.7617561	-0.2467997	United Kingdom
Canada University of Toronto	1	43.6628917	-79.39565640000001	Canada
University Sharjah	1	25.2867708	55.4783714	United Arab Emirates
University of Geneva	5	46.199444	6.1451157	Switzerland
Jagiellonian University	3	50.0609623	19.9341074	Poland
University A Coruna	2	43.3474697	-8.386953	Spain
Boston University School of Law	1	42.3509792	-71.107023	United States
University of British Columbiaokanagan	2	49.93982	-119.396764	Canada
University Leipzig	2	51.3385738	12.3784615	Germany
University Politecn Madrid	1	40.4486372	-3.7192798	Spain
The University of Tokyo	2	35.7126775	139.761989	Japan
Calif State University San Marcos	1	33.1295574	-117.1599449	United States
Natl Def University	1	38.8667772	-77.01455229999999	United States
University Nacl Lujan	1			
Czech Republic Saltzman Institute of War And Peace Studies At Columbia University	1			
Philippsuniversityersität	1			
Boise State University	4	43.6033127	-116.201649	United States
Franklin Pierce University	4	42.7793667	-72.0560856	United States
University of Notre Dame	6	41.7055716	-86.2353388	United States
University New Hampshire	6	43.138948	-70.9370252	United States
University Autónoma De Barcelona	1	41.5014238	2.1026845	Spain
Minnesota State University Moorhead	1	46.86590500000001	-96.762332	United States
University of Potsdam	1	52.4010314	13.0119098	Germany
Freie Universityersität Berlin	8			
Indiana University Bloomington	1	39.1761275	-86.5130583	United States
University Fed Vicosa	1	-20.7608854	-42.8692906	Brazil
Carlow University	2	40.4394832	-79.96391450000002	United States
Georgetown Universityersitys School of Foreign Service	1	38.9087261	-77.07362959999999	United States
University Calif Davis	1	38.5382322	-121.7617125	United States
University of Salamanca	1	40.9613376	-5.666925099999999	Spain
University Montpellier 2	3	43.63117099999999	3.861512	France
Georgetown University Council On Foreign Relations	1	38.9087261	-77.07362959999999	United States
Oakland University	2	42.66884830000001	-83.20664149999999	United States
George Washington University Law School	1	38.8990984	-77.0451293	United States
Free University of Brussels	1	50.821658	4.394886	Belgium
University of Iowa	3	41.6626963	-91.5548998	United States
University of Vienna	3	48.21318549999999	16.3600504	Austria
University of Nancy2L2Slasures	1			
Belgium Leiden University	1	52.1571485	4.485209	Netherlands
University Coll Cork	1	51.89210989999999	-8.493273700000001	Ireland
Dresden University of Technology	1	51.02927340000001	13.7289964	Germany
University Copenhagen	8	55.6802303	12.5724096	Denmark
Morgan State University	2	39.3437959	-76.5843847	United States
University Cologne	4	50.9281625	6.9288192	Germany
Winthrop University	1	34.9395142	-81.0316204	United States
University W England	1	43.4582904	-70.3865402	United States
University of Technology	1	18.0186816	-76.7444736	Jamaica
Seton Hall University	4	40.743011	-74.2471001	United States
St Josephs University	1	39.9946832	-75.2416405	United States
Germany University of Göttingen	2	51.5408116	9.9374005	Germany
University Patras	1	38.28923	21.785369	Greece
The George Washington University	2	38.8997145	-77.0485992	United States
Roehampton University	1	51.4579866	-0.2432869	United Kingdom
University of Missourikansas City	3	39.0335539	-94.57602589999999	United States
Kadir Has University	5	41.02472239999999	28.9590603	Turkey
Central Missouri State University	1	38.7580823	-93.73837239999999	United States
University Montreal	2	45.5056156	-73.61375919999999	Canada
St John’S University	1	40.7215967	-73.7946899	United States
University Greenwich	1	51.4825629	-0.006756499999999999	United Kingdom
Leiden University	12	52.1571485	4.485209	Netherlands
University of Saskatchewan	2	52.1334003	-106.6313582	Canada
Freie Universityersität	3			
University of Economics	1	50.0842288	14.4412041	Czechia
University of The Free State	2	-29.1112771	26.1869783	South Africa
University of Puerto Rico	3	18.40461	-66.050151	Puerto Rico
The Hong Kong Polytechnic University	1	22.3028474	114.1784191	Hong Kong
Texas State Universityersitysan Marcos	1	29.888411	-97.938351	United States
Vrije Universityersiteit Brussel	3	50.8221119	4.3932953	Belgium
Ashland University	2	40.8619296	-82.32305099999999	United States
University Def	1	38.908422	-76.99238749999999	United States
University of Paris Westnanterrela Defense	1	48.90339900000001	2.211274	France
University of Deusto	1	43.2712452	-2.9385576	Spain
Calif State University	2	34.0667886	-118.1680902	United States
Trento University	2	46.0667967	11.1231165	Italy
Sam Houston State University	3	30.7131978	-95.5503566	United States
University of Trento	4	46.0667967	11.1231165	Italy
University of Santiago De Compostela	1	42.8885225	-8.5449726	Spain
University of Urbino Carlo Bo	2	43.7232326	12.6368523	Italy
Cornell University	14	42.4534492	-76.4735027	United States
Jacobs University Bremen	1	53.16771689999999	8.6542654	Germany
University Iberoamer	1	19.3700747	-99.26400699999999	Mexico
University of Memphis	4	35.118741	-89.937141	United States
University Wisconsin	13	43.076592	-89.4124875	United States
Nanyang Technol University	1	1.3483099	103.6831347	Singapore
Vienna University Econ Business	1	48.214648	16.406479	Austria
University of Chicago	6	41.7886079	-87.5987133	United States
University of California	42	37.8022945	-122.271448	United States
European Universityerstity Institute	1			
University New Brunswick	1	40.5008186	-74.44739910000001	United States
Western Connecticut State University	1	41.4007198	-73.4449401	United States
Waseda University	3	35.7087334	139.7196485	Japan
Pompeu Fabra University	2	41.3789689	2.179794100000001	Spain
University Oxford Wadham Coll	1	51.7557394	-1.2546951	United Kingdom
University of Wisconsinmadison	13	43.076592	-89.4124875	United States
University of Jaén	1	37.788385	-3.777133	Spain
University Ottawa	5	38.6029423	-95.2637339	United States
University Nacl Cordoba	2			
Florida State University	11	30.4418778	-84.2984889	United States
University of West Virginia	1	39.6361396	-79.95593579999999	United States
University of Pavia	1	45.1867156	9.1561041	Italy
University of Ottawa	12	45.42310639999999	-75.68313289999999	Canada
Pennsylvania State University	14	40.7982133	-77.8599084	United States
University Lausanne	3	46.5210895	6.5801606	Switzerland
University Calgary	5	51.0781599	-114.1358007	Canada
Natl Chengchi University	1	24.987516	121.576074	Taiwan
Washburn University	2	39.0333113	-95.7017075	United States
Babeşbolyai University	5	46.7677955	23.5912762	Romania
Kansas State University	3	39.1974437	-96.5847249	United States
University Portsmouth	5	50.79512870000001	-1.0935686	United Kingdom
Nord University	1	67.289081	14.560248	Norway
Italy Law Department of The European University Institute Eui Florence	1	43.803079	11.282959	Italy
University of Central Missouri	1	38.7580823	-93.73837239999999	United States
Norfolk State University	1	36.8480161	-76.262085	United States
University Nacional De Córdoba	1	-31.4354855	-64.1855702	Argentina
Washington University	7	38.6487895	-90.31079620000001	United States
Johannes Gutenberguniversityersity Mainz	2	49.9926403	8.241555199999999	Germany
Bakent University	1	39.8876842	32.6543665	Turkey
Brock University	1	43.1175731	-79.2476925	Canada
University Messina	1	38.1891564	15.5530341	Italy
University Granada	2	37.1846223	-3.6006329	Spain
University Ctr	1	43.5375937	-83.984501	United States
Southern Illinois University	5	37.7090577	-89.22491339999999	United States
National Chengchi University	1	24.987516	121.576074	Taiwan
University Surrey	1	51.2421839	-0.5905421	United Kingdom
University of Sharjah	1	25.2867708	55.4783714	United Arab Emirates
University of St Thomasmn	4	44.941751	-93.19149089999999	United States
North Carolina State Universityersitycharlotte	1	35.3001243	-80.7340342	United States
Free University of Berlin	7	52.4525264	13.2896787	Germany
University Southern Denmark	1	55.3706746	10.4280673	Denmark
Universityeristy of Essex	1	44.508563	-73.11668499999999	United States
Czech Technical University	1	50.1030364	14.3912841	Czechia
University of Southern Mississippigulf Coast	1	30.3531529	-89.13746259999999	United States
Indiana University of Pennsylvania	1	40.6142181	-79.1610625	United States
The Catholic University of America	2	38.9368811	-76.99869199999999	United States
Lock Haven University Penn	1	41.1423205	-77.4621475	United States
University New Mexico	2	35.0843187	-106.6197812	United States
Bahcesehir University	1	41.042072	29.0090151	Turkey
University Strasbourg 1	1	48.5835552	7.7626888	France
Eastern Michigan University	1	42.2506803	-83.624089	United States
University Autónoma De Madrid	5	40.5466983	-3.6943619	Spain
State University of New York At Stony Brook	1	40.9123761	-73.1233889	United States
Chinese University Hong Kong	1	22.4162632	114.2109318	Hong Kong
Point Loma Nazarene University	1	32.716863	-117.250694	United States
Texas A And M Universityersitycorpus Christi	1	27.7127448	-97.32414329999999	United States
Universityersität München	1			
University Western Cape	1	-33.9335203	18.627958	South Africa
University of Johannesburg	3	-26.1875311	28.0171001	South Africa
University of Osnabrück	1	52.2711024	8.0447914	Germany
Catholic University of Eichstättingolstadt	2	48.8887085	11.1900219	Germany
European University Inst	10	43.803079	11.282959	Italy
University of New Brunswick	2	40.5008186	-74.44739910000001	United States
University of Gloucestershire	2	51.9000125	-2.0797502	United Kingdom
Erasmus University Rotterdam	3	51.91752	4.525585	Netherlands
Colorado State University	1	40.573436	-105.0865473	United States
Texas A And M University Central Texas	1	31.0528319	-97.77382740000002	United States
Australian Natl University	1	-35.2776999	149.118527	Australia
University Northampton	2	52.27220029999999	-0.8831912	United Kingdom
Sabanci University	2	40.8928831	29.3748667	Turkey
Wingate University	1	34.9869013	-80.44449709999999	United States
Un University Inst Comparat Reg Integrat Studies Unu Cr	1			
Hong Kong Polytech University	1	22.3028474	114.1784191	Hong Kong
Mae Universityersité De Paris X	1			
Edinburgh University	1	55.9445158	-3.1892413	United Kingdom
Keele University	6	53.00343729999999	-2.272053000000001	United Kingdom
University Southern Calif	2	34.0223519	-118.285117	United States
University of Wisconsin	4	43.076592	-89.4124875	United States
Dundee University	2	56.45824469999999	-2.9821428	United Kingdom
University Texas Arlington	4	32.7301078	-97.1162524	United States
Saintejustine University Hospital Center	1	45.5032186	-73.6239156	Canada
University Konstanz	2	47.689426	9.1868777	Germany
University Oxford St Annes Coll	1	51.7616376	-1.262292	United Kingdom
York University Toronto	1	43.7734535	-79.50186839999999	Canada
University Salamanca	2	40.9613376	-5.666925099999999	Spain
University Lapland	1	66.48586259999999	25.7155282	Finland
Vanderbilt University Divinity School	2	36.1466963	-86.8007657	United States
University of Aarhus	1	56.1681384	10.2030118	Denmark
University Acores	1	37.7460756	-25.6637984	Portugal
Trencianska University Alexandra Dubceka	1			
Calif State University Monterey Bay	1	36.6529218	-121.7981631	United States
Johns Hopkins Universityersitys	1	39.3299013	-76.6205177	United States
University of York	8	53.9455334	-1.0561667	United Kingdom
Literatura Hispanoamericana De Ia University	2			
University of Economics In Bratislava	1	48.1257816	17.1332155	Slovakia
University of Piraeus	3	37.9416238	23.6530109	Greece
University Trieste	1	45.658667	13.7934477	Italy
Ohio University	4	39.324358	-82.10138889999999	United States
University Newcastle	3	-32.8927718	151.7041775	Australia
University Mary Washington	3	38.3021703	-77.4742587	United States
Universityersité Sorbonne Nouvelle In Paris	1			
Cracow University Econ	1	50.0685649	19.9551201	Poland
Concordia University	11	45.5701912	-122.6368874	United States
J W Guniversityersität Frankfurt Am Main	1			
Tamkang University	1	25.1753389	121.4500026	Taiwan
Charles University	3	50.0871106	14.4234889	Czechia
Webster University	2	38.5892883	-90.34376669999999	United States
University of New Haven	2	41.2907035	-72.9616437	United States
Social Welf Studies Ghent University	1	51.0465619	3.727918099999999	Belgium
University Munster	1	51.9635705	7.6131826	Germany
University of Siegen	1	50.9112595	8.0254525	Germany
St Andrews University	2	34.7448064	-79.48007109999999	United States
Catholic University Eichstatt Ingolstadt	1	48.8887085	11.1900219	Germany
University of Glasgow	15	55.87212109999999	-4.288200499999999	United Kingdom
University of Toronto	20	43.6628917	-79.39565640000001	Canada
University Politecn Valencia	1	39.48105899999999	-0.3410670000000001	Spain
Stellenbosch University	3	-33.9328078	18.864447	South Africa
Charles University Prague	2	50.0871106	14.4234889	Czechia
University of British Columbia	9	49.26060520000001	-123.2459938	Canada
University Quebec Trois Rivieres	1	46.346911	-72.579728	Canada
University Econ	5	47.6571109	-122.3083677	United States
Creighton University	1	41.2653105	-95.94719189999999	United States
Sorbonne Nouvelleparis 3 University	1	48.83979619999999	2.3538807	France
University Innsbruck	1	47.26335419999999	11.3838006	Austria
University Rey Juan Carlos	1	40.3354644	-3.8774911	Spain
Free University	2	39.7218074	-104.8976981	United States
Filozofická Fakulta Universityerzity Komenského V Bratislave	2	48.1404629	17.1163727	Slovakia
University Loughborough	5	52.769227	-1.224632	United Kingdom
Howard University	4	38.9226843	-77.0194377	United States
Siedlce University of Natural Sciences And Humanities	1	52.1696131	22.2842795	Poland
University Toulouse 2	1	43.5795225	1.4032247	France
Necmettin Erbakan University	2	37.8786688	32.4844151	Turkey
Oxford University	7	51.7548164	-1.2543668	United Kingdom
University Glasgow	6	55.87212109999999	-4.288200499999999	United Kingdom
Chang Jung Christian University	1	22.905029	120.27265	Taiwan
University of Bordeaux 3	1	44.795412	-0.6163179999999999	France
The Johns Hopkins University	1	39.3299013	-76.6205177	United States
University of Pisa	1	43.7167235	10.3988593	Italy
United States University of Rome	1	41.8854734	12.4622398	Italy
University of The West of England	9	51.5001344	-2.5475301	United Kingdom
De Montfort University	3	52.62978	-1.13937	United Kingdom
University Notre Dame	10	41.7055716	-86.2353388	United States
University Toronto	19	43.6628917	-79.39565640000001	Canada
Department of English University of Wisconsineau Claire	2	44.7967459	-91.5034191	United States
Central European University	2	47.5005395	19.04958	Hungary
Lincoln University	6	39.807212	-75.9273377	United States
Indiana University	19	39.1761275	-86.5130583	United States
University of Salzburg	5	47.797324	13.04817	Austria
University of Maryland	8	38.9869183	-76.9425543	United States
University of The South	2	35.20518	-85.91766059999999	United States
Germany University Parisdauphine	1			
Ludwig Maximilians University Munich	1	48.150806	11.58043	Germany
Lancaster University	8	54.0103942	-2.7877294	United Kingdom
University of Bristol	13	51.4584172	-2.6029792	United Kingdom
Bournemouth University	1	50.742365	-1.8956355	United Kingdom
University of Strathclyde	3	55.8628285	-4.2428535	United Kingdom
University Johannesburg	1	-26.1875311	28.0171001	South Africa
University Hull	8	53.7737034	-0.3680781	United Kingdom
Laurentian University	2	46.4667708	-80.9742332	Canada
University Cent Lancashire Uclan	1	53.7645034	-2.7083505	United Kingdom
Depaul Universityersitys School For New Learning	1	41.8784754	-87.6270839	United States
Mcmaster University	5	43.260879	-79.9192254	Canada
Universityersitat Autònoma De Barcelona	2	41.5014238	2.1026845	Spain
University Genoa	1	44.4149029	8.926743000000002	Italy
University Massachusetts	10	42.3911569	-72.5267121	United States
University of Sarajevo	4	43.856883	18.4188848	Bosnia and Herzegovina
Un University Institute On Comparative Regional Integration Studies Unucris	1	51.218011	3.230836	Belgium
Minnesota State University	2	44.1463506	-93.9986131	United States
Babeşbolyai University Clujnapoca	1	46.7677955	23.5912762	Romania
University of New England	1	43.4582904	-70.3865402	United States
Duke University	18	36.0014258	-78.9382286	United States
Tech University Darmstadt	3	49.874778	8.656139999999999	Germany
Coventry University	2	52.4071747	-1.5037461	United Kingdom
University of Southern Denmark	10	55.3706746	10.4280673	Denmark
University Manchester	11	41.0114193	-85.759772	United States
Cașfoscari University	1			
University Roma La Sapienza	3	41.9037626	12.5144384	Italy
University of Arkansas At Little Rock	1	34.7240568	-92.3388872	United States
University of St Thomas	1	44.941751	-93.19149089999999	United States
Tennessee Technol University	1	36.1756361	-85.5085876	United States
University Tasmania	1	-42.9041217	147.3247697	Australia
Humboldt State University	4	40.8752748	-124.077821	United States
Universityersitiy of Utrecht	1	52.0901527	5.1226018	Netherlands
Graduate Center of The City University of New York Cuny	1	40.748449	-73.9834916	United States
Babesbolyai University	1	46.7677955	23.5912762	Romania
University of Aberdeen Edward Wright Building	2	57.1662906	-2.100752	United Kingdom
Bilkent University	5	39.8746147	32.7475962	Turkey
Columbia University School of Lawny	1	40.8070804	-73.96028969999999	United States
University of Heidelberg	1	49.4191402	8.670249199999999	Germany
Political Science Universityersität Mannheim And Universityersität Osnabrück	1			
Auckland University Technol	2	-36.8532194	174.7673188	New Zealand
Technische Universityersität	1			
Winona State University	1	44.0473997	-91.6432837	United States
Stanford University	20	37.4274745	-122.169719	United States
University Baltimore	1	39.2892131	-76.6249759	United States
The City University of New York	4	40.7509091	-73.973584	United States
Friedrichalexander University of Erlangennuremberg	1	49.5978804	11.0045507	Germany
Liverpool John Moores University	2	53.4034017	-2.9712846	United Kingdom
European University Inst Eui Florence	1	43.803079	11.282959	Italy
France Tulane University	1	29.9416085	-90.122264	United States
Cardiff Metropolitan University	2	51.49623219999999	-3.2131349	United Kingdom
Europauniversityersität Viadrina	1			
University of Limerick	2	52.6735881	-8.5724372	Ireland
University Regensburg	2	48.9986882	12.0945473	Germany
Catholic University Amer	3	38.9368811	-76.99869199999999	United States
Tokyo University Foreign Studies	1	35.673444	139.519935	Japan
University Limerick	1	52.6735881	-8.5724372	Ireland
Bahçeşehir University	1	41.042072	29.0090151	Turkey
University of Dundee	1	56.45824469999999	-2.9821428	United Kingdom
Appalachian State University	1	36.2134842	-81.6841448	United States
University Louisiana Lafayette	1	30.2114404	-92.0204121	United States
University Akron	2	41.076655	-81.5113386	United States
University Vigo	2	42.1694839	-8.6834785	Spain
Vilnius University	2	54.6825757	25.2876469	Lithuania
Radboud University Nijmegen	2	51.8193148	5.8568877	Netherlands
Cyprus University of Technology	2	34.6766777	33.0445361	Cyprus
University of Manitoba	2	49.8075008	-97.1366259	Canada
San Diego State University	4	32.77572170000001	-117.0718893	United States
Hungary Széchenyi István University	1	47.692732	17.627573	Hungary
University of Southern Mississippi	1	31.3303296	-89.3356963	United States
Oregon State University	6	44.5637806	-123.2794443	United States
University Calif Los Angeles	10	34.068921	-118.4451811	United States
University Colorado	11	40.00758099999999	-105.2659417	United States
University Stirling	4	56.1459171	-3.918879	United Kingdom
Leeds Metropolitan University	4	53.8036425	-1.5474292	United Kingdom
Széchenyi István University	1	47.692732	17.627573	Hungary
Guinea University Bretagne Occidentale	1	48.3980356	-4.5076415	France
Swansea University College of Law	1	51.610497	-3.983076	United Kingdom
Ces Universityersidade De Coimbra	1			
City University of New York	3	40.7509091	-73.973584	United States
University Calif San Diego	6	32.8800604	-117.2340135	United States
The Kings University College	1	53.52575909999999	-113.4166233	Canada
York University	11	43.7734535	-79.50186839999999	Canada
University Nebraska	5	40.8201966	-96.70047629999999	United States
University Stavanger	1	58.93729899999999	5.697201	Norway
University St Gallen	1	47.4321575	9.3755673	Switzerland
University of Hohenheim	3	48.71115959999999	9.2123935	Germany
Manchester Metropolitan University	9	53.4709747	-2.2387641	United Kingdom
Wesleyan University	2	41.5566104	-72.65690409999999	United States
University Fed Minas Gerais	1	-19.8690878	-43.9663841	Brazil
University of Pennsylvania	7	39.9522188	-75.1932137	United States
University of Sydney	5	-33.888584	151.1873473	Australia
Natl University Polit Studies Publ Adm	1	44.4741443	26.0591559	Romania
University Salford	2	53.48458600000001	-2.270755	United Kingdom
California State University	4	34.0667886	-118.1680902	United States
University of Kent	10	51.29846690000001	1.0709944	United Kingdom
University Fed Para	1	-1.4743965	-48.4532218	Brazil
United Arab Emirates University	2	24.200588	55.67603399999999	United Arab Emirates
University of Pittsburgh	6	40.4443533	-79.960835	United States
Cranfield University	4	52.074461	-0.629289	United Kingdom
Penn State University	18	40.7982133	-77.8599084	United States
Tilburg University	4	51.5631406	5.0419736	Netherlands
University of Birmingham	20	52.4508168	-1.9305135	United Kingdom
University of Louvainlaneuve	1	50.66968749999999	4.6155909	Belgium
University Nacional De Rosario	1	-32.95027290000001	-60.636032	Argentina
Northern Kentucky University	1	39.0318034	-84.4643828	United States
University of Georgia	6	33.9480053	-83.3773221	United States
University Portland	1	45.5732046	-122.7275712	United States
Vytautas Magnus University	2	54.8985729	23.9140947	Lithuania
Texas A And M Universityersitycentral	1	31.0528319	-97.77382740000002	United States
University Buenos Aires	2	-34.5998875	-58.37306949999999	Argentina
University College Dublin	10	53.3053439	-6.220654	Ireland
City University	3	47.6178002	-122.3444475	United States
University North Carolina Chapel Hill	1	35.9049122	-79.0469134	United States
University of Lapland	1	66.48586259999999	25.7155282	Finland
University Western Australia	2	-31.981179	115.8199096	Australia
University of Kiel	1	54.3460549	10.1147022	Germany
University of Helsinki	2	60.1726348	24.9510419	Finland
Tulane University	6	29.9403477	-90.12072789999999	United States
Binghamton University	1	42.0893553	-75.9697049	United States
United States Brookes University	1	51.755011	-1.224225	United Kingdom
Flinders University	1	-35.0244952	138.5713281	Australia
Lehigh University	5	40.6069087	-75.37828320000001	United States
Texas Tech University	2	33.5842591	-101.8782822	United States
Texas State University San Marcos	2	29.888411	-97.938351	United States
University Cincinnati	1	39.1329219	-84.51495039999999	United States
Illinois State University	2	40.5122833	-88.9946702	United States
University Simón Bolívar	1	10.408363	-66.8755735	Venezuela
University Braunschweig	1	52.2735074	10.5296839	Germany
Humboldtuniversityersität Zu Berlin	3			
Durham University	11	54.7649859	-1.5782029	United Kingdom
University Econ Bratislava	2	48.1257816	17.1332155	Slovakia
University of Akronoh	2	41.076655	-81.5113386	United States
Pasteur 2 University Hosp	1	48.110425	-1.6737517	France
Graduate City Planning Program San Diego State University	1	32.7772264	-117.0726966	United States
University of Alabama At Birmingham	1	33.5021227	-86.8064447	United States
University of Oklahoma	4	35.2058936	-97.4457137	United States
Lund University	1	55.7119483	13.203493	Sweden
University Minnesota	3	44.97399	-93.2277285	United States
University De Salamanca	2	40.9613376	-5.666925099999999	Spain
St Thomas University	3	44.941751	-93.19149089999999	United States
University Cambridge Christs Coll	1	52.2062306	0.1224627	United Kingdom
Belgium Stanford University	1	37.4274745	-122.169719	United States
University Autónoma De Yucatán	2	20.96965	-89.623128	Mexico
University of Paris 2 Panthéonassas	1	48.8433032	2.3334127	France
University Quebec	1	46.78174629999999	-71.2747424	Canada
Lakehead University	5	48.4214812	-89.2618968	Canada
Sidi Mohamed Ben Abdellah University	2	34.0338435	-4.9799022	Morocco
University of Wisconsin La Crosse	1	43.8160517	-91.23115159999999	United States
Universityersité Du Sud Toulonvar	2			
Universityersité De Versailles Saintquentinenyvelines	2	48.799627	2.1415644	France
University of Lethbridgeab	1	49.6786136	-112.8596223	Canada
University of Exeter	5	50.7371369	-3.5351475	United Kingdom
University S Carolina	8	33.996112	-81.0274276	United States
Sw Texas State University	1	29.888411	-97.938351	United States
Baylor University	7	31.549841	-97.1143146	United States
Ne Normal University	1	40.5122833	-88.9946702	United States
University Puerto Rico	2	18.40461	-66.050151	Puerto Rico
University Fed Bahia	1	-13.0024602	-38.50897519999999	Brazil
